Trial Number: ,  Random Number: 
0  ,  0.9078341014  
1  ,  0.0399792474  
2  ,  0.4157231361  
3  ,  0.9674672689  
4  ,  0.7889034700  
5  ,  0.8551591540  
6  ,  0.6832789087  
7  ,  0.7621692557  
8  ,  0.4034546953  
9  ,  0.6420789209  
10  ,  0.5495162816  
11  ,  0.1249427778  
12  ,  0.5029755547  
13  ,  0.5631885739  
14  ,  0.7777642140  
15  ,  0.5142674032  
16  ,  0.9663991211  
17  ,  0.7182836390  
18  ,  0.3581652272  
19  ,  0.5909604175  
20  ,  0.4171575060  
21  ,  0.9190954314  
22  ,  0.3091525010  
23  ,  0.4390392773  
24  ,  0.6857509079  
25  ,  0.9267555773  
26  ,  0.0900296030  
27  ,  0.9526047548  
28  ,  0.7740714743  
29  ,  0.1832941679  
30  ,  0.5312967315  
31  ,  0.6697897275  
32  ,  0.4781029695  
33  ,  0.5687734611  
34  ,  0.6888332774  
35  ,  0.8355967895  
36  ,  0.3251747185  
37  ,  0.2145756401  
38  ,  0.5280312510  
39  ,  0.9741813410  
40  ,  0.9817194128  
41  ,  0.9052705466  
42  ,  0.8445081942  
43  ,  0.7521591845  
44  ,  0.7879879147  
45  ,  0.0988189337  
46  ,  0.3268532365  
47  ,  0.4144718772  
48  ,  0.5762199774  
49  ,  0.0980559709  
50  ,  0.1690115055  
51  ,  0.5734427931  
52  ,  0.4279000214  
53  ,  0.4030274361  
54  ,  0.1369365520  
55  ,  0.6326792199  
56  ,  0.5270851772  
57  ,  0.7765739921  
58  ,  0.4971160009  
59  ,  0.6272469253  
60  ,  0.7653736991  
61  ,  0.0541398358  
62  ,  0.7124851222  
63  ,  0.7606433302  
64  ,  0.2552262947  
65  ,  0.2288277841  
66  ,  0.3121127964  
67  ,  0.4206976531  
68  ,  0.4078493606  
69  ,  0.8430738243  
70  ,  0.8410901212  
71  ,  0.9551683096  
72  ,  0.7314981536  
73  ,  0.2182378613  
74  ,  0.2966093936  
75  ,  0.9880062258  
76  ,  0.0068971831  
77  ,  0.5534531693  
78  ,  0.9568773461  
79  ,  0.5583361309  
80  ,  0.9960936308  
81  ,  0.4247260964  
82  ,  0.0083925901  
83  ,  0.8628192999  
84  ,  0.3401593066  
85  ,  0.7156895657  
86  ,  0.8789330729  
87  ,  0.8825647755  
88  ,  0.8033082064  
89  ,  0.5113071078  
90  ,  0.6811426130  
91  ,  0.6762596515  
92  ,  0.5183568834  
93  ,  0.9857173376  
94  ,  0.6744285409  
95  ,  0.6206549272  
96  ,  0.3908810694  
97  ,  0.8153935362  
98  ,  0.1501205481  
99  ,  0.3792840358  
100  ,  0.3174535356  
101  ,  0.1490218818  
102  ,  0.6470534379  
103  ,  0.8811914426  
104  ,  0.3747367779  
105  ,  0.6653035066  
106  ,  0.9032563250  
107  ,  0.0904873806  
108  ,  0.6355784783  
109  ,  0.7496261483  
110  ,  0.4502395703  
111  ,  0.8484756005  
112  ,  0.7682119205  
113  ,  0.3215124973  
114  ,  0.2564775536  
115  ,  0.5687429426  
116  ,  0.0750144963  
117  ,  0.3436384167  
118  ,  0.3253578295  
119  ,  0.0677510910  
120  ,  0.1268654439  
121  ,  0.5432905057  
122  ,  0.6549882504  
123  ,  0.3108005005  
124  ,  0.6494644002  
125  ,  0.3786126286  
126  ,  0.4651631214  
127  ,  0.3555406354  
128  ,  0.8178960540  
129  ,  0.7798394726  
130  ,  0.0986053041  
131  ,  0.2740256966  
132  ,  0.6157109287  
133  ,  0.6971953490  
134  ,  0.5018768883  
135  ,  0.3344828639  
136  ,  0.4145939512  
137  ,  0.9869075594  
138  ,  0.6928617206  
139  ,  0.2239753410  
140  ,  0.4310129093  
141  ,  0.6660359508  
142  ,  0.1206701865  
143  ,  0.5936460463  
144  ,  0.2161015656  
145  ,  0.0680257576  
146  ,  0.3245948668  
147  ,  0.7071138646  
148  ,  0.8349559008  
149  ,  0.9297463912  
150  ,  0.7978453932  
151  ,  0.4737693411  
152  ,  0.8916592914  
153  ,  0.9411908322  
154  ,  0.4628437147  
155  ,  0.6483657338  
156  ,  0.0563676870  
157  ,  0.7897885067  
158  ,  0.6640522477  
159  ,  0.4773094882  
160  ,  0.2503433332  
161  ,  0.2298348949  
162  ,  0.0845362712  
163  ,  0.5739921262  
164  ,  0.1456648457  
165  ,  0.2084719382  
166  ,  0.4927213355  
167  ,  0.3035981323  
168  ,  0.1355327006  
169  ,  0.5797601245  
170  ,  0.7253639332  
171  ,  0.4590289010  
172  ,  0.4316232795  
173  ,  0.4377269814  
174  ,  0.8131962035  
175  ,  0.5090182196  
176  ,  0.4444715720  
177  ,  0.6000244148  
178  ,  0.6554155095  
179  ,  0.1999572741  
180  ,  0.1034882656  
181  ,  0.2729880673  
182  ,  0.1491134373  
183  ,  0.7922299875  
184  ,  0.2726828822  
185  ,  0.4297616504  
186  ,  0.1801812799  
187  ,  0.7126071963  
188  ,  0.9180883206  
189  ,  0.9323404645  
190  ,  0.3817255165  
191  ,  0.9041413617  
192  ,  0.1836298715  
193  ,  0.9293496506  
194  ,  0.0661946471  
195  ,  0.6544083987  
196  ,  0.0315866573  
197  ,  0.5600756859  
198  ,  0.2379528184  
199  ,  0.1832941679  
200  ,  0.6032288583  
201  ,  0.4968413343  
202  ,  0.0917386395  
203  ,  0.7723929563  
204  ,  0.9569689016  
205  ,  0.3559373760  
206  ,  0.9039887692  
207  ,  0.7159337138  
208  ,  0.3393353069  
209  ,  0.5095370342  
210  ,  0.7228003784  
211  ,  0.8757591479  
212  ,  0.6456495865  
213  ,  0.3288064211  
214  ,  0.7632374035  
215  ,  0.1209448531  
216  ,  0.2262337107  
217  ,  0.3901791437  
218  ,  0.9137241737  
219  ,  0.4333933531  
220  ,  0.6947233497  
221  ,  0.6756492813  
222  ,  0.2599566637  
223  ,  0.9605090487  
224  ,  0.8943754387  
225  ,  0.2984405042  
226  ,  0.0330515458  
227  ,  0.7967162084  
228  ,  0.6789757988  
229  ,  0.7854853969  
230  ,  0.8872646260  
231  ,  0.7746513260  
232  ,  0.6645710623  
233  ,  0.4474013489  
234  ,  0.9143650624  
235  ,  0.0471816156  
236  ,  0.6078371532  
237  ,  0.8682515946  
238  ,  0.3004547258  
239  ,  0.7419049654  
240  ,  0.5678884243  
241  ,  0.0448622089  
242  ,  0.0318308054  
243  ,  0.4690389721  
244  ,  0.5074922941  
245  ,  0.2086855678  
246  ,  0.5554673910  
247  ,  0.9642017884  
248  ,  0.4899136326  
249  ,  0.8597674490  
250  ,  0.8013245033  
251  ,  0.6469924009  
252  ,  0.1278420362  
253  ,  0.0453199866  
254  ,  0.4719077120  
255  ,  0.3770867031  
256  ,  0.4403820917  
257  ,  0.4136173589  
258  ,  0.0058900723  
259  ,  0.1886959441  
260  ,  0.7746208075  
261  ,  0.0743125706  
262  ,  0.1215247047  
263  ,  0.2848597674  
264  ,  0.9477828303  
265  ,  0.7969603565  
266  ,  0.3467513047  
267  ,  0.0726645711  
268  ,  0.2663350322  
269  ,  0.5783257546  
270  ,  0.4414502396  
271  ,  0.5208288827  
272  ,  0.5786614582  
273  ,  0.1105380413  
274  ,  0.1189611499  
275  ,  0.6207464827  
276  ,  0.0164189581  
277  ,  0.1804864650  
278  ,  0.9723807489  
279  ,  0.2323068941  
280  ,  0.5824457533  
281  ,  0.5321512497  
282  ,  0.0122074038  
283  ,  0.0957670827  
284  ,  0.2400891140  
285  ,  0.2233039338  
286  ,  0.7219153417  
287  ,  0.2908719138  
288  ,  0.6608172857  
289  ,  0.0075075533  
290  ,  0.0366832484  
291  ,  0.9243751335  
292  ,  0.2865077670  
293  ,  0.7726065859  
294  ,  0.1529587695  
295  ,  0.3275246437  
296  ,  0.8622089297  
297  ,  0.5671559801  
298  ,  0.5737784967  
299  ,  0.5444502091  
300  ,  0.0957976012  
301  ,  0.2462233345  
302  ,  0.2968535417  
303  ,  0.3928037355  
304  ,  0.6013367107  
305  ,  0.2674031800  
306  ,  0.5517746513  
307  ,  0.8779564806  
308  ,  0.7810907315  
309  ,  0.6682943205  
310  ,  0.9916989654  
311  ,  0.2419202246  
312  ,  0.8039490951  
313  ,  0.7571642201  
314  ,  0.7468489639  
315  ,  0.4284493545  
316  ,  0.3354289377  
317  ,  0.5477462081  
318  ,  0.2455519272  
319  ,  0.2450636311  
320  ,  0.1760002441  
321  ,  0.4690694906  
322  ,  0.2087160863  
323  ,  0.0039368877  
324  ,  0.4639423811  
325  ,  0.3824884793  
326  ,  0.7249366741  
327  ,  0.9223609119  
328  ,  0.5985595264  
329  ,  0.4359874264  
330  ,  0.8114566485  
331  ,  0.0642719810  
332  ,  0.5408490249  
333  ,  0.7882320627  
334  ,  0.3679311502  
335  ,  0.1040986358  
336  ,  0.6469618824  
337  ,  0.7324442274  
338  ,  0.9291665395  
339  ,  0.6940214240  
340  ,  0.6913968322  
341  ,  0.2523575549  
342  ,  0.1224402600  
343  ,  0.7159947508  
344  ,  0.2356639302  
345  ,  0.5409405805  
346  ,  0.2368846706  
347  ,  0.1999572741  
348  ,  0.9990844447  
349  ,  0.5129245888  
350  ,  0.8096865749  
351  ,  0.1891537217  
352  ,  0.3876155889  
353  ,  0.8434400464  
354  ,  0.6364940336  
355  ,  0.3339335307  
356  ,  0.8374279000  
357  ,  0.5624256111  
358  ,  0.1120944853  
359  ,  0.4954374828  
360  ,  0.1287575915  
361  ,  0.7377544481  
362  ,  0.3070772423  
363  ,  0.1402325510  
364  ,  0.3272194586  
365  ,  0.2768028809  
366  ,  0.6871242409  
367  ,  0.8073976867  
368  ,  0.5077364422  
369  ,  0.3789483322  
370  ,  0.8812219611  
371  ,  0.4286019471  
372  ,  0.9184850612  
373  ,  0.6693624683  
374  ,  0.4049806207  
375  ,  0.7836237678  
376  ,  0.7401959288  
377  ,  0.5457930235  
378  ,  0.7453230384  
379  ,  0.8714865566  
380  ,  0.0974456008  
381  ,  0.7695852535  
382  ,  0.7123630482  
383  ,  0.4788354137  
384  ,  0.4784386731  
385  ,  0.8319956053  
386  ,  0.4657124546  
387  ,  0.7270729698  
388  ,  0.2186956389  
389  ,  0.1271401105  
390  ,  0.1203955199  
391  ,  0.8789941099  
392  ,  0.2060304575  
393  ,  0.4628437147  
394  ,  0.3393047884  
395  ,  0.1866512040  
396  ,  0.4620502335  
397  ,  0.9407635731  
398  ,  0.8181707205  
399  ,  0.0614337596  
400  ,  0.7571642201  
401  ,  0.7365031892  
402  ,  0.0693380535  
403  ,  0.3475142674  
404  ,  0.9147312845  
405  ,  0.8120365001  
406  ,  0.4108096561  
407  ,  0.9802545244  
408  ,  0.9613025300  
409  ,  0.0903042695  
410  ,  0.5662709433  
411  ,  0.8104495376  
412  ,  0.7783440657  
413  ,  0.1245460372  
414  ,  0.7829828791  
415  ,  0.8760643330  
416  ,  0.4126102481  
417  ,  0.7924741356  
418  ,  0.8734397412  
419  ,  0.9023407697  
420  ,  0.7008270516  
421  ,  0.0475478378  
422  ,  0.0869472335  
423  ,  0.3115634632  
424  ,  0.3647267067  
425  ,  0.2580645161  
426  ,  0.2178411206  
427  ,  0.5240638447  
428  ,  0.2336802271  
429  ,  0.1650135807  
430  ,  0.8560136723  
431  ,  0.8314157537  
432  ,  0.7499618519  
433  ,  0.9908749657  
434  ,  0.1861629078  
435  ,  0.6229438154  
436  ,  0.4138004700  
437  ,  0.7294839320  
438  ,  0.2426831874  
439  ,  0.2474745933  
440  ,  0.3240150151  
441  ,  0.1494186224  
442  ,  0.0251777703  
443  ,  0.2904751732  
444  ,  0.4705954161  
445  ,  0.5409710990  
446  ,  0.3821222571  
447  ,  0.5490585040  
448  ,  0.9355449080  
449  ,  0.7387310404  
450  ,  0.0678426466  
451  ,  0.4850001526  
452  ,  0.6580401013  
453  ,  0.4508804590  
454  ,  0.8801843318  
455  ,  0.4379406110  
456  ,  0.9205908383  
457  ,  0.4263435774  
458  ,  0.2838526566  
459  ,  0.3792535173  
460  ,  0.2116458632  
461  ,  0.4909207434  
462  ,  0.4268929106  
463  ,  0.4885708182  
464  ,  0.6221198157  
465  ,  0.9840693381  
466  ,  0.9555955687  
467  ,  0.3332316050  
468  ,  0.4305551317  
469  ,  0.6270332957  
470  ,  0.5346842860  
471  ,  0.9332560198  
472  ,  0.0346690268  
473  ,  0.3541673025  
474  ,  0.4788354137  
475  ,  0.4915921506  
476  ,  0.8844874416  
477  ,  0.1382183294  
478  ,  0.4016235847  
479  ,  0.0722678304  
480  ,  0.5737784967  
481  ,  0.3409527879  
482  ,  0.2885219886  
483  ,  0.0065309610  
484  ,  0.7458723716  
485  ,  0.6205633717  
486  ,  0.8997466964  
487  ,  0.3091219825  
488  ,  0.9704580828  
489  ,  0.9269386883  
490  ,  0.9096041749  
491  ,  0.8853419599  
492  ,  0.2468031861  
493  ,  0.6159550768  
494  ,  0.6882839442  
495  ,  0.8105410932  
496  ,  0.2908719138  
497  ,  0.2144230476  
498  ,  0.1326944792  
499  ,  0.4629963073  
500  ,  0.2611468856  
501  ,  0.8662678915  
502  ,  0.4520401624  
503  ,  0.7916806543  
504  ,  0.0808130131  
505  ,  0.9919736320  
